,차종,가격,연식,주행거리,연료,변속기,배기량,색상,전손이력,침수이력,소유자변경,내비게이션,가죽시트,썬루프,스마트키,오토라이트,주차감지센서,열선시트,통풍시트
0,(195오6396)기아 디 올 뉴 스포티지G1.6 T-GDI 2WD 트렌디,"2,399만원",22년05월(22년형),"43,840km",가솔린,오토,0cc,흰색,없음,없음,1회,1,1,0,0,0,0,0,0
1,(378너9209)기아 니로1.6 럭셔리,"1,390만원",18년08월(18년형),"95,000km",하이브리드(가솔린),오토,"1,580cc",검정색,없음,없음,2회,1,1,0,1,1,1,1,0
2,(90누3873)현대 더 뉴 그랜드 스타렉스밴 3인승 스마트,"1,970만원",20년06월(21년형),"78,298km",디젤,오토,"2,497cc",흰색,없음,없음,없음,1,1,0,0,0,1,1,1
3,(122호3039)현대 펠리세이드3.8 가솔린 8인승 AWD 프레스티지,"2,950만원",19년10월(19년형),"55,000km",가솔린,오토,"3,778cc",회색,없음,없음,없음,1,1,1,1,1,1,1,1
4,(135더3221)현대 더 뉴 팰리세이드3.8 가솔린 4WD 프레스티지,"4,390만원",23년09월(23년형),"5,601km",가솔린,오토,"3,778cc",회색,없음,없음,1회,0,0,0,0,0,0,0,0
5,(35고0109)현대 싼타페 더 프라임디젤 R2.0 2WD 5인승 프리미엄,"1,250만원",16년06월(16년형),"88,121km",디젤,오토,"1,995cc",검정색,없음,없음,2회,1,1,0,1,1,1,1,0
6,(68노3019)현대 베르나(신형)하이브리드,319만원,08년09월(09년형),"116,687km",하이브리드(가솔린),오토,"1,399cc",은색,없음,없음,3회,0,0,0,0,0,0,0,0
7,(57루9273)KG모빌리티 뉴코란도 C2.2 Extreme AWD,760만원,15년07월(16년형),"107,000km",디젤,오토,"2,157cc",검정,없음,없음,2회,0,0,0,0,0,0,0,0
8,(38노0614)KG모빌리티 티볼리디젤 LX 기본형,"1,090만원",16년08월(16년형),"58,785km",디젤,오토,"1,597cc",파랑,없음,없음,없음,0,0,0,1,0,1,1,1
9,(04부0527)KG모빌리티 티볼리 에어2WD RX 플러스 패키지,760만원,16년05월(16년형),"127,000km",디젤,오토,0cc,흰색,없음,없음,3회,1,0,1,0,0,0,0,0
10,(45고6614)KG모빌리티 베리 뉴 티볼리가솔린 V5 2WD 기본형,"1,380만원",19년07월(19년형),"83,254km",가솔린,오토,"1,497cc",블루,없음,없음,3회,0,0,0,0,0,0,0,0
11,(36너8085)기아 더 뉴 카니발9인승 2.2 디젤 프레스티지,"1,920만원",19년07월(19년형),"120,912km",디젤,오토,0cc,흰색,없음,없음,없음,1,0,0,1,0,0,0,0
12,(827두5336)기아 더 뉴 봉고3LPG 1톤 더블캡 초장축 2WD L,"1,989만원",24년01월(24년형),"1,179km",LPG,수동,"2,469cc",흰색,없음,없음,1회,0,0,0,0,0,0,0,0
13,(47더1778)현대 벨로스터Extreme,350만원,11년11월(12년형),"127,260km",가솔린,오토,"1,591cc",검정색,없음,없음,14회,1,1,1,1,1,1,1,0
14,(50수1605)현대 올 뉴 투싼디젤(e-VGT R)2.0 2WD 프리미엄,"1,629만원",18년02월(18년형),"120,306km",디젤,오토,"1,995cc",흰색,없음,없음,1회,1,1,1,1,1,1,1,1
15,(225다4212)기아 더 뉴 레이 밴1.0 가솔린 밴 2인승 프레스티지 스페셜,960만원,20년06월(21년형),"32,287km",가솔린,오토,998cc,흰색,없음,없음,1회,0,1,0,0,0,1,1,0
16,(140호2827)르노코리아 더 뉴 QM62.0 LPe 2WD RE,"1,800만원",20년02월(20년형),"50,366km",LPG,CVT,"1,998cc",검정색,없음,없음,없음,0,1,0,1,1,1,1,1
17,(23주3523)현대 LF쏘나타2.0 스마트 기본형,940만원,14년09월(15년형),"124,997km",가솔린,오토,"1,999cc",폴리시드메탈,없음,없음,1회,1,1,0,1,1,1,1,0
18,(38구8725)한국GM 쉐보레 올란도LTZ 프리미엄,399만원,15년02월(15년형),"169,771km",디젤,오토,"1,998cc",검정색,없음,없음,3회,1,1,0,1,1,1,1,0
19,(125가1025)제네시스 G803.8 GDI AWD 파이니스트,"1,990만원",16년07월(17년형),"150,771km",가솔린,오토,"3,778cc",갈색,없음,없음,6회,1,0,0,1,0,1,0,0
20,(84라0666)KG모빌리티 렉스턴 스포츠2.2 4WD 다이내믹 에디션,"2,199만원",20년09월(21년형),"62,522km",디젤,오토,"2,157cc",파랑,없음,없음,1회,1,0,0,1,0,1,1,1
21,(176누3566)기아 K7 프리미어3.0 GDi 노블레스,"2,150만원",19년12월(20년형),"76,000km",가솔린,오토,"2,999cc",검정색,없음,없음,없음,1,1,0,1,1,1,1,1
22,(27노3631)현대 벨로스터(JS)1.6 T-GDi 스포츠,"1,239만원",18년03월(18년형),"64,300km",가솔린,수동,"1,596cc",파랑색,없음,없음,2회,0,0,1,1,0,1,1,0
23,(49더8959)기아 스포티지 더 볼드2.0 디젤 2WD 노블레스,"1,880만원",18년11월(19년형),"52,287km",디젤,오토,"1,995cc",회색,없음,없음,1회,1,1,0,1,1,1,1,1
24,(357라5343)기아 더 뉴 K5 2세대2.0 가솔린 럭셔리,"1,190만원",19년04월(19년형),"95,921km",가솔린,오토,"1,999cc",검정색,없음,없음,1회,1,1,0,1,1,1,1,1
25,(53두6820)르노코리아 뉴SM5 플래티넘1.6 TCE 기본형,480만원,13년07월(13년형),"66,227km",가솔린,오토,"1,618cc",흰색,없음,없음,1회,1,1,0,1,0,1,1,0
26,(314루5092)현대 펠리세이드2.2 디젤 7인승 익스클루시브,"2,599만원",19년01월(19년형),"96,977km",디젤,오토,0cc,검정색,없음,없음,3회,1,1,0,1,1,1,1,1
27,(93나0900)현대 포터2초장축 슈퍼캡 CRDi Smart,"1,430만원",19년04월(19년형),"105,146km",디젤,오토,"2,497cc",흰색,없음,없음,1회,0,1,0,0,1,1,1,0
28,(244노3423)현대 그랜저IG 하이브리드익스클루시브 기본형,"2,050만원",19년05월(19년형),"124,449km",하이브리드(가솔린),오토,"2,359cc",검정,없음,없음,없음,1,1,0,1,1,1,1,1
29,(73다1924)현대 그랜드스타렉스11인승 왜건 CVX 프리미엄,790만원,13년08월(14년형),"140,000km",디젤,오토,11cc,노랑,없음,없음,3회,0,0,0,0,0,0,0,0
